sale_id,branch,city,customer_type,gender,product_name,product_category,unit_price,quantity,tax,total_price,reward_points,date,month
1,A,New York,Member,Male,Shampoo,Personal Care,5.5,3,1.16,17.66,1,2024-09-07,2024-09
2,B,Los Angeles,Normal,Female,Notebook,Stationery,2.75,10,1.93,29.43,0,2024-12-31,2024-12
3,A,New York,Member,Female,Apple,Fruits,1.2,15,1.26,19.26,1,2025-06-21,2025-06
4,A,Chicago,Normal,Male,Detergent,Household,7.8,5,2.73,41.73,0,2024-09-01,2024-09
5,B,Los Angeles,Member,Female,Orange Juice,Beverages,3.5,7,1.72,26.22,2,2025-07-03,2025-07
6,A,Chicago,Normal,Male,Shampoo,Stationery,11.24,9,7.08,108.24,0,2024-09-01,2024-09
7,A,Chicago,Normal,Male,Shampoo,Personal Care,10.71,1,0.75,11.46,0,2025-05-16,2025-05
8,B,Los Angeles,Normal,Female,Shampoo,Household,18.23,9,11.48,175.55,0,2025-04-19,2025-04
9,A,Chicago,Member,Female,Apple,Fruits,14.15,20,19.81,302.81,30,2024-08-22,2024-08
10,B,Los Angeles,Member,Male,Shampoo,Fruits,18.42,19,24.5,374.48,37,2025-02-22,2025-02
11,A,Chicago,Normal,Male,Detergent,Beverages,9.32,7,4.57,69.81,0,2025-06-11,2025-06
12,B,Los Angeles,Member,Male,Orange Juice,Household,6.89,12,5.79,88.47,8,2025-06-30,2025-06
13,A,New York,Normal,Female,Orange Juice,Household,3.29,4,0.92,14.08,0,2025-05-11,2025-05
14,B,Los Angeles,Member,Female,Apple,Fruits,8.81,5,3.08,47.13,4,2024-08-02,2024-08
15,B,Los Angeles,Normal,Female,Apple,Beverages,19.48,3,4.09,62.53,0,2024-07-30,2024-07
16,B,Los Angeles,Normal,Male,Notebook,Stationery,5.55,8,3.11,47.51,0,2024-08-17,2024-08
17,B,Los Angeles,Member,Female,Apple,Personal Care,2.13,2,0.3,4.56,0,2025-03-10,2025-03
18,B,Los Angeles,Normal,Male,Notebook,Fruits,13.26,15,13.92,212.82,0,2024-08-04,2024-08
19,A,New York,Member,Male,Apple,Beverages,19.59,2,2.74,41.92,4,2025-02-09,2025-02
20,A,Chicago,Normal,Male,Detergent,Personal Care,6.98,8,3.91,59.75,0,2025-03-29,2025-03
21,B,Los Angeles,Normal,Female,Shampoo,Personal Care,4.36,11,3.36,51.32,0,2025-01-13,2025-01
22,B,Los Angeles,Normal,Male,Orange Juice,Beverages,6.8,1,0.48,7.28,0,2025-06-06,2025-06
23,A,New York,Member,Female,Shampoo,Beverages,1.95,16,2.18,33.38,3,2024-08-16,2024-08
24,A,Chicago,Normal,Male,Apple,Fruits,19.05,2,2.67,40.77,0,2025-01-24,2025-01
25,B,Los Angeles,Member,Male,Detergent,Beverages,11.33,18,14.28,218.22,21,2024-09-03,2024-09
26,B,Los Angeles,Normal,Male,Notebook,Fruits,13.94,16,15.61,238.65,0,2024-07-22,2024-07
27,A,New York,Member,Male,Detergent,Household,9.55,2,1.34,20.44,2,2025-05-11,2025-05
28,A,New York,Member,Female,Detergent,Personal Care,16.46,17,19.59,299.41,29,2024-10-18,2024-10
29,B,Los Angeles,Member,Female,Shampoo,Stationery,12.3,17,14.64,223.74,22,2024-11-14,2024-11
30,A,Chicago,Member,Male,Orange Juice,Personal Care,12.37,15,12.99,198.54,19,2025-05-15,2025-05
31,A,Chicago,Member,Male,Shampoo,Fruits,3.7,3,0.78,11.88,1,2025-05-16,2025-05
32,A,New York,Member,Female,Orange Juice,Stationery,5.39,3,1.13,17.3,1,2024-08-24,2024-08
33,B,Los Angeles,Normal,Male,Notebook,Stationery,6.94,17,8.26,126.24,0,2024-07-16,2024-07
34,B,Los Angeles,Normal,Male,Orange Juice,Household,8.13,9,5.12,78.29,0,2025-06-16,2025-06
35,A,New York,Member,Male,Apple,Personal Care,13.42,2,1.88,28.72,2,2025-05-10,2025-05
36,A,New York,Member,Male,Detergent,Personal Care,13.14,15,13.8,210.9,21,2025-05-05,2025-05
37,B,Los Angeles,Member,Male,Shampoo,Fruits,11.14,16,12.48,190.72,19,2025-02-22,2025-02
38,B,Los Angeles,Member,Female,Notebook,Beverages,5.42,14,5.31,81.19,8,2024-12-02,2024-12
39,A,New York,Member,Female,Notebook,Beverages,15.34,15,16.11,246.21,24,2025-02-13,2025-02
40,A,New York,Normal,Female,Apple,Fruits,1.17,11,0.9,13.77,0,2025-06-24,2025-06
41,A,New York,Member,Female,Notebook,Household,10.8,10,7.56,115.56,11,2025-03-30,2025-03
42,A,New York,Normal,Male,Apple,Household,10.98,12,9.22,140.98,0,2025-01-19,2025-01
43,A,New York,Normal,Female,Notebook,Fruits,4.17,2,0.58,8.92,0,2024-10-06,2024-10
44,A,Chicago,Member,Male,Detergent,Fruits,20.13,2,2.82,43.08,4,2025-06-03,2025-06
45,B,Los Angeles,Member,Female,Shampoo,Household,15.73,8,8.81,134.65,13,2024-09-28,2024-09
46,A,New York,Member,Male,Shampoo,Fruits,15.95,8,8.93,136.53,13,2025-02-17,2025-02
47,A,New York,Normal,Male,Shampoo,Stationery,1.28,8,0.72,10.96,0,2024-09-13,2024-09
48,B,Los Angeles,Normal,Female,Detergent,Personal Care,9.98,20,13.97,213.57,0,2024-08-25,2024-08
